Neighbourhood Group Cleansed;Property Type;Room Type;Accommodates;Bathrooms;Bedrooms;Beds;Amenities;Square Feet;Price;Cleaning Fee;Availability 90;Review Scores Rating
Chamartín;Loft;Shared room;1;1.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Smoking allowed,Breakfast,Pets live on this property,Heating,Essentials,Shampoo,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;30.0;;89;
Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Room-darkening shades;592.0;56.0;35.0;29;93.0
Villaverde;Apartment;Shared room;5;1.0;1.0;1.0;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;30.0;;58;93.0
Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;100.0;;0;
Centro;Apartment;Entire home/apt;8;2.0;3.0;4.0;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;160.0;40.0;37;99.0
Centro;Apartment;Entire home/apt;5;1.0;2.0;2.0;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;59.0;14.0;0;100.0
Fuencarral - El Pardo;Apartment;Entire home/apt;4;1.0;2.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;59.0;20.0;61;82.0
Centro;Apartment;Entire home/apt;3;1.0;1.0;1.0;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Free parking on premises,Pets allowed,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;80.0;;20;96.0
Centro;House;Private room;2;1.0;1.0;1.0;Wireless Internet,Kitchen,Heating,Washer,Lock on bedroom door;;37.0;10.0;80;85.0
Vicálvaro;Apartment;Private room;1;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Breakfast,Heating,Essentials,Shampoo,Hangers,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;15.0;5.0;31;97.0
Centro;Hostel;Private room;2;1.0;1.0;2.0;TV,Wireless Internet,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron;;36.0;;62;80.0
Salamanca;Apartment;Private room;2;1.0;1.0;1.0;TV,Wireless Internet,Breakfast,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Shampoo;;39.0;5.0;79;96.0
Arganzuela;Apartment;Private room;2;1.0;1.0;2.0;Internet,Wireless Internet,Air conditioning,Smoking allowed,Pets live on this property,Dog(s),Cat(s),Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_50;;26.0;;68;97.0
Centro;Apartment;Entire home/apt;2;1.0;2.0;2.0;Wireless Internet,Kitchen,Heating,Washer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;98.0;;54;96.0
Chamberí;Condominium;Entire home/apt;7;2.0;3.0;5.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;100.0;25.0;23;97.0
Hortaleza;House;Private room;3;1.5;1.0;2.0;TV,Cable TV,Internet,Wireless Internet,Pool,Kitchen,Free parking on premises,Pets allowed,Breakfast,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace;;38.0;5.0;73;97.0
Salamanca;Apartment;Private room;1;2.5;1.0;1.0;TV,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Heating,Suitable for events,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;55.0;10.0;89;80.0
Centro;Apartment;Private room;2;1.0;1.0;2.0;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets live on this property,Cat(s),Elevator in building,Family/kid friendly,Washer,Dryer,Essentials,Shampoo;;25.0;10.0;60;78.0
Centro;Apartment;Entire home/apt;6;2.0;2.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Dryer,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;90.0;108.0;48.0;51;86.0
Retiro;Apartment;Private room;2;1.0;1.0;1.0;Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;28.0;15.0;44;100.0
Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Cat(s),Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Iron,Laptop friendly workspace,Private entrance;;60.0;;62;80.0
Centro;Apartment;Private room;3;1.0;1.0;2.0;TV,Internet,Wireless Internet,Kitchen,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;35.0;;31;98.0
Puente de Vallecas;House;Private room;2;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Heating,Essentials,Shampoo,Hangers;;17.0;5.0;71;90.0
Latina;Apartment;Private room;2;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Free parking on premises,Elevator in building,Heating,Washer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;19.0;5.0;47;91.0
Chamberí;Apartment;Entire home/apt;5;2.0;2.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;90.0;50.0;47;98.0
Chamberí;Apartment;Entire home/apt;4;1.0;1.0;3.0;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;55.0;24.0;59;88.0
Puente de Vallecas;Apartment;Entire home/apt;3;1.0;2.0;2.0;Air conditioning,Kitchen,Smoking allowed,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Hangers;;36.0;;0;100.0
Chamberí;Apartment;Entire home/apt;4;2.0;2.0;3.0;TV,Internet,Air conditioning,Kitchen,Smoking allowed,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;200.0;50.0;4;
Ciudad Lineal;Apartment;Private room;2;2.0;1.0;2.0;Internet,Wireless Internet,Wheelchair accessible,Elevator in building,Heating,Family/kid friendly,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Laptop friendly workspace;;30.0;;0;96.0
Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;60.0;;33;97.0
Centro;Apartment;Private room;1;1.0;1.0;1.0;Internet,Wireless Internet,Kitchen,Smoking allowed,Heating,Washer,First aid kit,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;14.0;;0;
Salamanca;Apartment;Entire home/apt;3;1.0;1.0;2.0;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Laptop friendly workspace;;115.0;29.0;88;
Centro;Condominium;Entire home/apt;4;1.0;1.0;2.0;TV,Internet,Wireless Internet,Kitchen,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;46.0;10.0;41;84.0
Centro;Bed & Breakfast;Private room;1;2.0;1.0;1.0;TV,Wireless Internet,Kitchen,Doorman,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials;;30.0;;90;75.0
Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;TV,Internet,Wireless Internet,Kitchen,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;44.0;20.0;13;96.0
Ciudad Lineal;Apartment;Shared room;1;1.0;1.0;1.0;Wireless Internet,Kitchen,Elevator in building,Family/kid friendly,Washer,Essentials,Shampoo;;20.0;;88;100.0
Centro;Apartment;Private room;3;1.0;1.0;2.0;Internet,Wireless Internet,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Essentials,Shampoo,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;22.0;6.0;15;90.0
Puente de Vallecas;Apartment;Private room;1;1.5;1.0;4.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;10.0;20.0;66;100.0
Centro;Apartment;Entire home/apt;4;1.0;1.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer;;90.0;30.0;65;96.0
Centro;Apartment;Entire home/apt;3;1.0;1.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Doorman Entry;;80.0;;44;92.0
Centro;Condominium;Entire home/apt;5;3.0;2.0;2.0;TV,Wireless Internet,Air conditioning,Kitchen,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;250.0;;0;100.0
Carabanchel;Apartment;Entire home/apt;5;1.0;2.0;3.0;TV,Kitchen,Heating,Washer,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;53.0;15.0;69;
Centro;Apartment;Private room;1;2.0;1.0;1.0;Wireless Internet,Kitchen,Smoking allowed,Doorman,Buzzer/wireless intercom,Heating,Washer,Lock on bedroom door,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Bathtub;;15.0;15.0;18;
Chamberí;Apartment;Private room;2;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Buzzer/wireless intercom,Washer,Essentials,Shampoo,24-hour check-in,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;22.0;;9;92.0
Chamberí;Apartment;Private room;2;1.0;1.0;1.0;Wireless Internet,Kitchen,Heating;;25.0;10.0;73;84.0
Centro;Apartment;Entire home/apt;2;1.0;0.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Essentials,Shampoo,Hangers,Hair dryer,Iron;;71.0;;33;90.0
Centro;Apartment;Private room;1;2.0;1.0;1.0;Internet,Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;28.0;10.0;52;
Centro;Apartment;Entire home/apt;5;1.0;2.0;4.0;TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Private entrance;;80.0;25.0;24;96.0
Centro;Condominium;Entire home/apt;2;1.0;1.0;1.0;TV,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,Hangers,Iron,translation missing: en.hosting_amenity_50;;55.0;18.0;78;100.0
Centro;Apartment;Entire home/apt;5;1.0;2.0;4.0;TV,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Dryer,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron;;80.0;30.0;19;100.0
Ciudad Lineal;Apartment;Entire home/apt;4;1.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;59.0;;18;93.0
Centro;Apartment;Private room;3;2.0;1.0;2.0;Wireless Internet,Kitchen,Heating,Essentials,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;25.0;10.0;72;91.0
Tetuán;Apartment;Private room;1;1.0;1.0;1.0;TV,Wireless Internet,Air conditioning,Kitchen,Pets live on this property,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;30.0;;36;100.0
Arganzuela;Apartment;Entire home/apt;5;2.0;2.0;4.0;TV,Air conditioning,Kitchen,Pets allowed,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;105.0;;20;97.0
Salamanca;Apartment;Entire home/apt;4;2.5;2.0;3.0;TV,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Doorman,Gym,Elevator in building,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;230.0;160.0;23;100.0
Chamberí;Apartment;Entire home/apt;2;1.0;0.0;2.0;Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;65.0;;85;70.0
Centro;Apartment;Entire home/apt;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;110.0;100.0;36;100.0
Latina;Apartment;Entire home/apt;2;1.0;0.0;1.0;Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Essentials,translation missing: en.hosting_amenity_50;;29.0;50.0;5;75.0
Centro;Apartment;Entire home/apt;7;2.5;3.0;4.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace;;165.0;50.0;42;98.0
Latina;Apartment;Entire home/apt;4;1.0;2.0;3.0;Wireless Internet,Kitchen,Family/kid friendly,Washer,Essentials,Shampoo,Hangers;;42.0;25.0;67;73.0
Centro;House;Entire home/apt;4;1.5;2.0;2.0;Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Essentials,24-hour check-in,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;120.0;40.0;86;94.0
Centro;Apartment;Private room;2;1.0;1.0;1.0;Internet,Wireless Internet,Kitchen,Washer,Essentials;;33.0;;37;85.0
Carabanchel;Chalet;Private room;2;2.0;1.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Wheelchair accessible,Pool,Kitchen,Free parking on premises,Smoking allowed,Doorman,Pets live on this property,Cat(s),Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;34.0;15.0;84;93.0
Chamartín;Apartment;Entire home/apt;5;2.0;1.0;3.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room;;85.0;50.0;47;90.0
Centro;Other;Entire home/apt;5;1.0;3.0;3.0;Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,24-hour check-in,Hangers,Hair dryer,Iron;;60.0;;41;89.0
Salamanca;Apartment;Private room;2;1.0;1.0;2.0;TV,Wireless Internet,Kitchen,Gym,Breakfast,Elevator in building,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50;;33.0;10.0;36;98.0
Arganzuela;Apartment;Entire home/apt;3;1.0;1.0;2.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Pets allowed,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;50.0;15.0;16;90.0
Centro;Apartment;Private room;2;1.0;1.0;1.0;Wireless Internet,Kitchen,Smoking allowed,Elevator in building,Buzzer/wireless intercom,Heating,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hair dryer,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;33.0;;49;95.0
Arganzuela;Apartment;Private room;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Kitchen,Breakfast,Heating,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;23.0;10.0;72;93.0
Latina;Apartment;Private room;2;1.0;1.0;1.0;TV,Internet,Wireless Internet,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;23.0;15.0;68;93.0
Salamanca;Villa;Entire home/apt;5;1.5;3.0;5.0;TV,Cable TV,Internet,Wireless Internet,Pool,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,First aid kit,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;130.0;20.0;14;94.0
Latina;Apartment;Private room;1;1.5;1.0;1.0;Internet,Wireless Internet,Pets allowed,Pets live on this property,Cat(s),Elevator in building,Buzzer/wireless intercom,Heating,First aid kit,Essentials,Shampoo,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50;;17.0;;90;96.0
Tetuán;Apartment;Private room;2;1.0;1.0;1.0;TV,Wireless Internet,Breakfast,Heating,Family/kid friendly,Washer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace;;32.0;15.0;78;
Chamartín;House;Entire home/apt;6;1.0;2.0;3.0;TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Suitable for events,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron;;79.0;40.0;56;73.0
Carabanchel;Apartment;Entire home/apt;5;1.0;2.0;4.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace;;80.0;;41;93.0
Usera;Apartment;Private room;1;1.0;1.0;1.0;TV,Wireless Internet,Kitchen,Heating,Washer,Essentials,Shampoo,24-hour check-in,Hangers,Laptop friendly workspace;;14.0;10.0;60;94.0
Moncloa - Aravaca;Apartment;Private room;2;1.5;1.0;1.0;TV,Wireless Internet,Kitchen,Doorman,Elevator in building,Buzzer/wireless intercom,Heating,Washer,Safety card,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Iron,Laptop friendly workspace;;25.0;;6;
Usera;Serviced apartment;Entire home/apt;1;1.0;0.0;1.0;TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator in building,Heating,Washer,Smoke detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace;;32.0;;2;100.0
